
 
,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
,,,,,,,,,,,,,,,,,,,
238,Swarthmore,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.68,-0.98,0,0,
239,Syracuse,1899,2023,122,1255,692,520,41,.569,27,16,10,1,.611,4.17,1.29,15,5,record adjusted to 681-520-41 by NCAA
240,Tampa,1966,1974,7,73,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
241,Temple,1930,2023,76,798,337,435,26,.439,9,3,6,0,.333,-3.20,-0.94,1,1,record adjusted to 332-440-26 by NCAA
242,Tennessee,1902,2023,119,1289,842,392,51,.675,55,30,25,0,.545,10.08,3.63,45,13,record adjusted to 843-392-50 by NCAA
243,Tennessee Medical College,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-9.28,2.06,0,0,
244,Tennessee State,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
245,Texas,1902,2023,122,1298,885,380,32,.695,58,31,25,2,.552,11.84,4.15,50,30,record adjusted to 886-380-31 by NCAA
246,Texas A&M,1903,2023,121,1280,749,485,44,.603,42,20,22,0,.476,7.95,3.30,28,18,
247,Texas Christian,1903,2023,118,1260,659,547,50,.545,36,18,17,1,.514,2.88,1.84,21,17,record adjusted to 659-546-50 by NCAA
248,Texas Southern,1977,1977,1,11,6,4,1,.591,0,0,0,0,,-5.98,-9.98,0,0,
249,Texas State,2012,2023,12,132,40,92,0,.303,0,0,0,0,,-12.40,-5.15,0,0,
250,Texas Tech,1932,2023,92,1034,559,449,24,.553,40,16,23,1,.413,3.97,1.99,11,11,
251,Texas-Arlington,1971,1981,11,120,49,71,0,.408,0,0,0,0,,-9.71,-6.19,0,1,
252,The Citadel,1909,1981,65,609,284,304,21,.484,1,1,0,0,1.000,-7.47,-6.72,0,1,
253,Toledo,1962,2023,62,701,409,282,8,.591,20,11,9,0,.550,-4.12,-7.09,4,11,record adjusted to 411-280-8 by NCAA
254,Trinity (CT),1887,1901,15,126,50,62,14,.452,0,0,0,0,,-4.52,-2.66,0,0,
255,Troy,2001,2023,23,270,148,122,0,.548,9,6,3,0,.667,-3.68,-5.12,1,6,
256,Tufts,1877,1905,17,178,70,103,5,.407,0,0,0,0,,-6.06,-2.49,0,0,
257,Tulane,1902,2023,119,1214,529,648,35,.451,15,7,8,0,.467,0.37,1.85,8,4,record adjusted to 528-649-35 by NCAA
258,Tulsa,1917,2023,92,999,507,473,18,.517,23,11,12,0,.478,-1.40,-2.20,8,27,
259,UAB,1996,2023,26,297,136,161,0,.458,6,3,3,0,.500,-6.02,-4.34,0,2,
260,UCF,1996,2023,28,332,192,140,0,.578,14,6,8,0,.429,0.01,-3.51,5,6,
261,UCLA,1928,2023,96,1059,607,404,31,.597,37,16,20,1,.446,9.07,5.61,32,17,record adjusted to 600-411-31 by NCAA
262,Union (NY),1894,1902,3,18,3,15,0,.167,0,0,0,0,,-10.45,3.85,0,0,
263,USC,1922,2023,102,1175,783,322,40,.701,56,35,21,0,.625,13.85,6.24,51,39,record adjusted to 769-322-40 by NCAA
264,Utah,1905,2023,117,1165,680,454,30,.597,25,17,8,0,.680,2.37,-1.84,11,25,
265,Utah State,1912,2023,109,1095,532,535,28,.499,15,6,9,0,.400,-4.87,-4.83,4,13,record adjusted to 536-532-27 by NCAA
266,UTEP,1935,2023,86,933,341,572,18,.376,15,5,10,0,.333,-9.43,-5.11,0,2,
267,UTSA,2012,2023,12,136,71,65,0,.522,4,0,4,0,.000,-6.03,-5.39,0,1,
268,Vanderbilt,1902,2023,120,1229,554,632,43,.468,9,4,4,1,.500,3.45,3.55,3,0,record adjusted to 555-631-43 by NCAA
269,Vermont,1901,1905,5,48,21,22,5,.490,0,0,0,0,,-3.00,-1.06,0,0,
270,Villanova,1905,1980,59,547,270,260,17,.509,5,2,2,1,.500,-2.26,-3.09,3,0,
271,Virginia,1890,2023,120,1238,599,602,37,.499,21,8,13,0,.381,1.03,0.57,9,2,
272,Virginia Military Institute,1904,1981,70,684,306,344,34,.472,0,0,0,0,,-5.27,-4.03,1,7,
273,Virginia Tech,1902,2023,120,1257,730,482,44,.599,34,13,21,0,.382,3.13,-0.97,20,8,record adjusted to 731-481-44 by NCAA
274,Wabash,1904,1905,2,17,8,9,0,.471,0,0,0,0,,4.55,1.77,0,0,
275,Wake Forest,1908,2023,116,1182,478,673,31,.418,17,11,6,0,.647,-2.35,0.83,5,2,
276,Washburn,1905,1940,7,68,29,38,1,.434,0,0,0,0,,-11.77,-8.80,0,0,
277,Washington,1916,2023,107,1124,655,437,32,.597,39,19,19,1,.500,8.02,4.25,26,19,record adjusted to 658-434-32 by NCAA
278,Washington & Jefferson,1905,1934,30,288,196,71,21,.717,1,0,0,1,.500,4.77,-2.83,0,0,
279,Washington & Lee,1907,1953,44,390,191,174,25,.522,1,0,1,0,.000,-0.76,-1.91,1,2,
280,Washington (MO),1902,1942,40,331,147,165,19,.473,0,0,0,0,,-5.13,-4.22,0,3,
281,Washington State,1917,2023,104,1079,494,542,38,.478,17,7,10,0,.412,2.48,3.26,12,4,record adjusted to 496-540-38 by NCAA
282,Wesleyan (CT),1882,1905,24,217,92,118,7,.440,0,0,0,0,,0.49,3.84,0,0,
283,West Texas State,1941,1985,44,447,212,225,9,.485,4,4,0,0,1.000,-8.65,-8.69,0,4,
284,West Virginia,1909,2023,111,1200,684,463,41,.593,39,16,23,0,.410,3.95,0.49,20,15,
285,West Virginia Wesleyan,1913,1916,4,33,16,16,1,.500,0,0,0,0,,-1.55,-1.37,0,0,
286,Western Carolina,1977,1981,5,55,25,28,2,.473,0,0,0,0,,-8.00,-8.33,0,0,
287,Western Kentucky,2009,2023,15,180,96,84,0,.533,9,6,3,0,.667,-3.62,-5.27,1,2,
288,Western Michigan,1962,2023,62,681,354,320,7,.525,10,2,8,0,.200,-6.37,-7.24,1,3,record adjusted to 355-319-7 by NCAA
289,Western State,1924,1937,14,95,19,76,0,.200,0,0,0,0,,-20.15,-8.96,0,0,
290,Whitman,1923,1924,2,12,2,10,0,.167,0,0,0,0,,-13.95,1.72,0,0,
291,Wichita State,1945,1986,42,433,167,254,12,.400,3,0,3,0,.000,-10.37,-6.40,0,5,record adjusted to 168-253-12 by NCAA
292,William & Mary,1922,1983,55,560,260,279,20,.483,3,1,2,0,.333,-4.63,-4.51,3,4,
293,Williams,1886,1906,21,211,107,90,14,.540,0,0,0,0,,1.28,0.17,0,0,
294,Wisconsin,1892,2023,132,1297,730,507,52,.587,34,19,15,0,.559,8.29,4.79,26,14,record adjusted to 731-506-52 by NCAA
295,Wofford,1914,1936,15,128,36,88,4,.297,0,0,0,0,,-13.04,-5.23,0,0,
296,WPI,1888,1893,2,11,3,7,1,.318,0,0,0,0,,-12.11,-1.48,0,0,
297,Wyoming,1905,2023,112,1142,531,581,26,.478,18,9,9,0,.500,-4.57,-3.24,4,14,record adjusted to 532-580-26 by NCAA
298,Xavier,1935,1973,16,160,70,86,4,.450,0,0,0,0,,-11.60,-8.18,0,0,
299,Yale,1872,1981,108,973,717,203,53,.764,0,0,0,0,,7.88,-1.09,4,11,
