
 
,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
,,,,,,,,,,,,,,,,,,,
49,Colby,1904,1904,1,7,2,4,1,.357,0,0,0,0,,-5.30,1.55,0,0,
50,Colgate,1905,1981,76,670,363,266,41,.572,0,0,0,0,,-0.87,-4.01,0,0,
51,Colorado,1902,2023,122,1213,666,509,35,.565,30,12,18,0,.400,3.87,1.41,19,19,
52,Colorado College,1902,1945,39,296,169,109,18,.601,0,0,0,0,,-1.27,-4.88,1,2,
53,Colorado Mines,1902,1937,36,239,98,128,13,.437,0,0,0,0,,-6.56,-4.56,0,3,
54,Colorado State,1902,2023,116,1143,526,585,31,.474,17,6,11,0,.353,-4.01,-2.95,3,15,record adjusted to 527-584-31 by NCAA
55,Columbia,1870,1981,84,699,282,382,35,.428,1,1,0,0,1.000,-4.55,-1.67,2,1,
56,Connecticut,1979,2023,25,278,110,166,2,.399,7,3,4,0,.429,-6.47,-2.56,0,2,
57,Cornell,1888,1981,93,837,488,317,32,.602,0,0,0,0,,2.20,-2.18,5,1,
58,Cornell College,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
59,Creighton,1927,1942,16,139,61,70,8,.468,0,0,0,0,,-6.26,-5.08,0,1,
60,Cumberland,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
61,Dartmouth,1881,1981,93,795,502,258,35,.653,0,0,0,0,,3.50,-2.81,5,12,
62,Davidson,1902,1973,66,601,248,312,40,.447,1,0,1,0,.000,-7.33,-5.96,0,1,
63,Dayton,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
64,Del Monte Pre-Flight,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
65,Denver,1902,1960,59,520,259,228,33,.530,2,0,2,0,.000,-4.08,-4.86,0,6,
66,Detroit Mercy,1927,1964,36,338,196,132,10,.595,0,0,0,0,,0.21,-4.25,0,3,
67,Dickinson,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.19,-3.54,0,0,
68,Drake,1900,1985,73,666,316,326,24,.492,3,2,1,0,.667,-5.60,-5.70,0,7,
69,Drury,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
70,Duke,1922,2023,102,1081,509,543,28,.484,15,7,8,0,.467,2.55,2.69,16,17,
71,Duquesne,1933,1950,14,132,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
72,East Carolina,1965,2023,59,665,342,320,3,.517,17,8,9,0,.471,-2.61,-2.73,2,6,record adjusted to 343-319-3 by NCAA
73,East Tennessee State,1979,1981,3,33,15,18,0,.455,0,0,0,0,,-9.46,-8.43,0,0,
74,Eastern Michigan,1975,2023,49,544,177,359,7,.332,6,2,4,0,.333,-14.04,-7.27,0,1,
75,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
76,Florida,1911,2023,111,1196,728,429,37,.625,48,24,24,0,.500,8.95,4.30,34,9,
77,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
78,Florida Atlantic,2004,2023,20,228,101,129,0,.439,5,4,1,0,.800,-7.69,-5.03,0,3,
79,Florida International,2004,2023,20,223,77,146,0,.345,5,2,3,0,.400,-12.39,-6.46,0,1,
80,Florida State,1954,2023,70,820,543,259,16,.674,48,29,17,2,.625,10.78,3.89,34,15,record adjusted to 532-258-16 by NCAA
81,Fordham,1909,1954,25,213,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
82,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
83,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
84,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
85,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.27,-3.24,0,0,
86,Fresno State,1969,2023,55,657,377,269,4,.583,25,13,12,0,.520,-1.72,-5.32,4,12,record adjusted to 380-266-4 by NCAA
87,Furman,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
88,George Washington,1908,1966,33,299,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
89,Georgetown,1902,1950,36,313,184,110,19,.618,2,0,2,0,.000,2.82,-2.36,1,0,
90,Georgia,1902,2023,120,1298,842,405,50,.668,61,37,21,3,.631,10.56,4.86,41,13,
91,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
92,Georgia Southern,2014,2023,10,113,59,54,0,.522,5,3,2,0,.600,-3.13,-4.43,0,1,
93,Georgia State,2013,2023,11,121,44,77,0,.364,5,3,2,0,.600,-9.45,-4.38,0,0,
94,Georgia Tech,1902,2023,122,1300,743,513,40,.589,45,25,20,0,.556,8.32,4.56,24,8,record adjusted to 742-513-40 by NCAA
95,Gonzaga,1922,1941,16,141,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
96,Grambling State,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
97,Great Lakes Navy,1918,1945,5,55,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
98,Grinnell,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.86,-4.63,0,0,
99,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
100,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
101,Hardin-Simmons,1939,1962,21,218,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
102,Harvard,1875,1981,103,932,631,259,42,.700,1,1,0,0,1.000,4.22,-2.09,0,5,
103,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.71,-2.12,0,0,
104,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
105,Hawaii,1971,2023,51,613,306,301,6,.504,14,8,6,0,.571,-3.76,-3.32,2,4,
106,Holy Cross,1899,1981,53,524,264,233,27,.530,1,0,1,0,.000,-2.94,-4.32,5,0,
107,Houston,1949,2023,75,838,456,366,15,.554,30,13,16,1,.450,3.17,1.09,15,11,record adjusted to 456-366-14 by NCAA
108,Idaho,1917,2017,75,739,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
109,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
110,Illinois,1892,2023,132,1287,617,617,49,.500,20,8,12,0,.400,5.95,5.22,13,15,
111,Illinois State,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
112,Indiana,1899,2023,125,1205,479,681,38,.416,13,3,10,0,.231,2.01,4.58,6,2,record adjusted to 480-680-38 by NCAA
113,Indiana State,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
114,Iowa,1899,2023,125,1239,653,544,34,.544,35,18,16,1,.529,6.84,5.14,26,11,record adjusted to 654-543-34 by NCAA
115,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
116,Iowa State,1895,2023,126,1250,538,665,45,.449,17,5,12,0,.294,0.26,1.45,3,2,record adjusted to 539-664-45 by NCAA
117,Jackson State,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
118,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
119,James Madison,2022,2023,2,11,8,3,0,.727,,,,,,5.37,-4.73,0,0,
120,Kansas,1901,2023,123,1245,538,652,54,.454,13,6,7,0,.462,0.85,2.48,7,5,
121,Kansas State,1912,2023,112,1156,501,620,35,.449,24,10,14,0,.417,-0.19,1.98,14,3,record adjusted to 502-620-34 by NCAA
122,Kent State,1962,2023,62,678,225,446,5,.337,4,1,3,0,.250,-12.27,-6.62,0,1,
